Time,Elevation_deg,dT_m
2024-01-01 05:13:11.870587,20.68,6.3875
2024-01-01 05:13:18.870587,21.20,6.2402
2024-01-01 05:13:21.870587,21.42,6.1791
2024-01-01 05:13:28.870587,21.95,6.0408
2024-01-01 05:13:31.870587,22.17,5.9833
2024-01-01 05:13:38.870587,22.70,5.8534
2024-01-01 05:13:41.870587,22.93,5.7994
2024-01-01 05:13:48.870587,23.46,5.6772
2024-01-01 05:13:51.870587,23.69,5.6265
2024-01-01 05:13:58.870587,24.22,5.5117
2024-01-01 05:14:01.870587,24.45,5.4640
2024-01-01 05:14:08.870587,24.98,5.3562
2024-01-01 05:14:11.870587,25.21,5.3114
2024-01-01 05:14:18.870587,25.74,5.2101
2024-01-01 05:14:21.870587,25.97,5.1680
2024-01-01 05:14:28.870587,26.50,5.0730
2024-01-01 05:14:31.870587,26.73,5.0335
2024-01-01 05:14:38.870587,27.25,4.9444
2024-01-01 05:14:41.870587,27.48,4.9074
2024-01-01 05:14:48.870587,28.00,4.8240
2024-01-01 05:14:51.870587,28.22,4.7894
2024-01-01 05:14:58.870587,28.74,4.7114
2024-01-01 05:15:01.870587,28.96,4.6792
2024-01-01 05:15:08.870587,29.46,4.6064
2024-01-01 05:15:11.870587,29.68,4.5764
2024-01-01 05:15:18.870587,30.18,4.5087
2024-01-01 05:15:21.870587,30.39,4.4808
2024-01-01 05:15:28.870587,30.87,4.4180
2024-01-01 05:15:31.870587,31.07,4.3922
2024-01-01 05:15:38.870587,31.54,4.3342
2024-01-01 05:15:41.870587,31.74,4.3104
2024-01-01 05:15:48.870587,32.18,4.2571
2024-01-01 05:15:51.870587,32.37,4.2353
2024-01-01 05:15:58.870587,32.80,4.1865
2024-01-01 05:16:01.870587,32.98,4.1666
2024-01-01 05:16:08.870588,33.38,4.1224
2024-01-01 05:16:11.870588,33.55,4.1044
2024-01-01 05:16:18.870588,33.92,4.0645
2024-01-01 05:16:21.870588,34.08,4.0484
2024-01-01 05:16:28.870588,34.42,4.0129
2024-01-01 05:16:31.870588,34.57,3.9986
2024-01-01 05:16:38.870588,34.88,3.9674
2024-01-01 05:16:41.870588,35.01,3.9549
2024-01-01 05:16:48.870588,35.28,3.9280
2024-01-01 05:16:51.870588,35.40,3.9173
2024-01-01 05:16:58.870588,35.63,3.8946
2024-01-01 05:17:01.870588,35.73,3.8857
2024-01-01 05:19:08.870588,34.56,3.9994
2024-01-01 05:19:11.870588,34.42,4.0137
2024-01-01 05:19:18.870588,34.07,4.0491
2024-01-01 05:19:21.870588,33.92,4.0653
2024-01-01 05:19:28.870588,33.54,4.1051
2024-01-01 05:19:31.870588,33.37,4.1231
2024-01-01 05:19:38.870589,32.97,4.1673
2024-01-01 05:19:41.870589,32.79,4.1871
2024-01-01 05:19:48.870589,32.37,4.2358
2024-01-01 05:19:51.870589,32.18,4.2576
2024-01-01 05:19:58.870589,31.73,4.3107
2024-01-01 05:20:01.870589,31.54,4.3345
2024-01-01 05:20:08.870589,31.07,4.3923
2024-01-01 05:20:11.870589,30.87,4.4181
2024-01-01 05:20:18.870589,30.39,4.4806
2024-01-01 05:20:21.870589,30.18,4.5085
2024-01-01 05:20:28.870589,29.68,4.5759
2024-01-01 05:20:31.870589,29.47,4.6058
2024-01-01 05:20:38.870589,28.96,4.6783
2024-01-01 05:20:41.870589,28.75,4.7104
2024-01-01 05:20:48.870589,28.23,4.7880
2024-01-01 05:20:51.870589,28.01,4.8225
2024-01-01 05:20:58.870589,27.49,4.9055
2024-01-01 05:21:01.870589,27.27,4.9423
2024-01-01 05:21:08.870589,26.74,5.0309
2024-01-01 05:21:11.870589,26.51,5.0702
2024-01-01 05:21:18.870589,25.99,5.1647
2024-01-01 05:21:21.870589,25.76,5.2065
2024-01-01 05:21:28.870589,25.23,5.3072
2024-01-01 05:21:31.870589,25.00,5.3518
2024-01-01 05:21:38.870589,24.47,5.4590
2024-01-01 05:21:41.870589,24.24,5.5063
2024-01-01 05:21:48.870589,23.71,5.6204
2024-01-01 05:21:51.870589,23.49,5.6708
2024-01-01 05:21:58.870589,22.96,5.7921
2024-01-01 05:22:01.870589,22.73,5.8457
2024-01-01 05:22:08.870589,22.21,5.9747
2024-01-01 05:22:11.870589,21.98,6.0317
2024-01-01 05:22:18.870589,21.46,6.1690
2024-01-01 05:22:21.870589,21.24,6.2297
2024-01-01 05:22:28.870589,20.72,6.3758
2024-01-01 05:22:31.870589,20.50,6.4404
2024-01-01 05:22:38.870589,19.98,6.5960
2024-01-01 05:22:41.870589,19.76,6.6648
2024-01-01 05:22:48.870589,19.25,6.8306
2024-01-01 05:22:51.870589,19.04,6.9040
2024-01-01 05:22:58.870589,18.53,7.0809
2024-01-01 05:23:01.870589,18.32,7.1592
2024-01-01 05:23:08.870589,17.82,7.3481
2024-01-01 05:23:11.870589,17.61,7.4318
2024-01-01 05:23:18.870590,17.11,7.6337
2024-01-01 05:23:21.870590,16.90,7.7233
2024-01-01 05:23:28.870590,16.42,7.9396
2024-01-01 05:23:31.870590,16.21,8.0356
2024-01-01 05:23:38.870590,15.73,8.2676
2024-01-01 05:23:41.870590,15.52,8.3706
2024-01-01 05:23:48.870590,15.05,8.6200
2024-01-01 05:23:51.870590,14.85,8.7308
2024-01-01 05:23:58.870590,14.38,8.9992
2024-01-01 05:24:01.870590,14.18,9.1187
2024-01-01 05:24:08.870590,13.71,9.4084
2024-01-01 05:24:11.870590,13.52,9.5375
2024-01-01 05:24:58.870590,10.53,12.0426
2024-01-01 05:25:01.870590,10.35,12.2408
2024-01-01 05:25:48.870590,7.56,16.2758
2024-01-01 05:25:51.870590,7.39,16.6107
2024-01-01 05:25:58.870590,6.99,17.4402
2024-01-01 05:26:01.870590,6.82,17.8179
2024-01-01 05:26:08.870590,6.42,18.7564
2024-01-01 05:26:11.870590,6.26,19.1851
2024-01-01 05:26:18.870590,5.87,20.2537
2024-01-01 05:26:21.870590,5.70,20.7434
2024-01-01 05:26:28.870590,5.32,21.9687
2024-01-01 05:26:31.870590,5.15,22.5324
2024-01-01 05:26:48.870590,4.24,26.2511
2024-01-01 05:26:51.870590,4.08,27.0162
2024-01-01 05:26:58.870591,3.71,28.9552
2024-01-01 05:27:01.870591,3.55,29.8590
2024-01-01 05:27:08.870591,3.18,32.1621
2024-01-01 05:27:11.870591,3.03,33.2417
2024-01-01 05:27:18.870591,2.67,36.0105
2024-01-01 05:27:21.870591,2.51,37.3174
2024-01-01 05:27:28.870591,2.15,40.6973
2024-01-01 05:27:31.870591,2.00,42.3079
2024-01-01 05:27:38.870591,1.65,46.5254
2024-01-01 05:27:41.870591,1.50,48.5654
2024-01-01 05:27:48.870591,1.15,54.0223
2024-01-01 05:27:51.870591,1.00,56.7342
2024-01-01 05:27:58.870591,0.65,64.3022
2024-01-01 05:28:01.870591,0.50,68.2934
2024-01-01 05:28:08.870591,0.16,81.5485
2024-01-01 05:28:11.870591,0.02,181.9117
2024-01-01 07:05:18.870618,8.94,14.0075
2024-01-01 07:05:21.870618,9.12,13.7419
2024-01-01 07:05:28.870618,9.57,13.1543
2024-01-01 07:05:31.870618,9.76,12.9152
2024-01-01 07:05:38.870618,10.22,12.3849
2024-01-01 07:05:41.870618,10.42,12.1687
2024-01-01 07:05:48.870618,10.88,11.6881
2024-01-01 07:05:51.870618,11.08,11.4917
2024-01-01 07:05:58.870618,11.55,11.0542
2024-01-01 07:06:01.870618,11.75,10.8751
2024-01-01 07:06:08.870618,12.23,10.4753
2024-01-01 07:06:11.870618,12.44,10.3114
2024-01-01 07:06:18.870618,12.93,9.9449
2024-01-01 07:06:21.870618,13.14,9.7943
2024-01-01 07:06:28.870618,13.64,9.4571
2024-01-01 07:06:31.870618,13.85,9.3184
2024-01-01 07:06:38.870618,14.36,9.0072
2024-01-01 07:06:41.870618,14.58,8.8790
2024-01-01 07:06:48.870618,15.10,8.5911
2024-01-01 07:06:51.870618,15.33,8.4723
2024-01-01 07:06:58.870618,15.85,8.2052
2024-01-01 07:07:01.870618,16.08,8.0949
2024-01-01 07:07:08.870618,16.62,7.8465
2024-01-01 07:07:11.870618,16.86,7.7438
2024-01-01 07:07:18.870618,17.41,7.5122
2024-01-01 07:07:21.870618,17.64,7.4164
2024-01-01 07:07:28.870618,18.21,7.2002
2024-01-01 07:07:31.870618,18.45,7.1106
2024-01-01 07:07:38.870618,19.02,6.9082
2024-01-01 07:07:41.870618,19.27,6.8243
2024-01-01 07:07:48.870618,19.86,6.6347
2024-01-01 07:07:51.870618,20.11,6.5560
2024-01-01 07:07:58.870618,20.71,6.3779
2024-01-01 07:08:01.870618,20.97,6.3040
2024-01-01 07:08:08.870618,21.58,6.1366
2024-01-01 07:08:11.870618,21.85,6.0671
2024-01-01 07:08:18.870618,22.47,5.9095
2024-01-01 07:08:21.870618,22.74,5.8440
2024-01-01 07:08:28.870619,23.38,5.6956
2024-01-01 07:08:31.870619,23.65,5.6338
2024-01-01 07:08:38.870619,24.30,5.4938
2024-01-01 07:08:41.870619,24.58,5.4355
2024-01-01 07:08:48.870619,25.25,5.3034
2024-01-01 07:08:51.870619,25.54,5.2484
2024-01-01 07:08:58.870619,26.21,5.1235
2024-01-01 07:09:01.870619,26.51,5.0716
2024-01-01 07:09:08.870619,27.20,4.9536
2024-01-01 07:09:11.870619,27.50,4.9045
2024-01-01 07:09:18.870619,28.20,4.7930
2024-01-01 07:09:21.870619,28.50,4.7465
2024-01-01 07:09:28.870619,29.22,4.6412
2024-01-01 07:09:31.870619,29.53,4.5973
2024-01-01 07:09:38.870619,30.26,4.4977
2024-01-01 07:09:41.870619,30.57,4.4562
2024-01-01 07:09:48.870619,31.31,4.3621
2024-01-01 07:09:51.870619,31.63,4.3229
2024-01-01 07:09:58.870619,32.38,4.2340
2024-01-01 07:10:01.870619,32.71,4.1970
2024-01-01 07:10:08.870619,33.46,4.1131
2024-01-01 07:10:11.870619,33.79,4.0782
2024-01-01 07:10:18.870619,34.56,3.9992
2024-01-01 07:10:21.870619,34.89,3.9664
2024-01-01 07:10:28.870619,35.66,3.8920
2024-01-01 07:10:31.870619,35.99,3.8611
2024-01-01 07:10:38.870619,36.77,3.7912
2024-01-01 07:10:41.870619,37.10,3.7623
2024-01-01 07:10:48.870619,37.88,3.6968
2024-01-01 07:10:51.870619,38.21,3.6697
2024-01-01 07:10:58.870619,38.99,3.6085
2024-01-01 07:11:01.870619,39.32,3.5832
2024-01-01 07:11:08.870619,40.08,3.5262
2024-01-01 07:11:11.870619,40.41,3.5026
2024-01-01 07:11:18.870619,41.17,3.4498
2024-01-01 07:11:21.870619,41.49,3.4280
2024-01-01 07:11:28.870619,42.23,3.3792
2024-01-01 07:11:31.870619,42.54,3.3591
2024-01-01 07:11:38.870619,43.26,3.3144
2024-01-01 07:11:41.870619,43.56,3.2960
2024-01-01 07:11:48.870619,44.25,3.2552
2024-01-01 07:11:51.870619,44.54,3.2386
2024-01-01 07:11:58.870620,45.19,3.2018
2024-01-01 07:12:01.870620,45.47,3.1869
2024-01-01 07:12:08.870620,46.08,3.1540
2024-01-01 07:12:11.870620,46.33,3.1407
2024-01-01 07:12:18.870620,46.90,3.1118
2024-01-01 07:12:21.870620,47.13,3.1002
2024-01-01 07:12:28.870620,47.63,3.0752
2024-01-01 07:12:31.870620,47.84,3.0653
2024-01-01 07:12:38.870620,48.28,3.0442
2024-01-01 07:12:41.870620,48.45,3.0360
2024-01-01 07:12:48.870620,48.83,3.0188
2024-01-01 07:12:51.870620,48.97,3.0123
2024-01-01 07:12:58.870620,49.26,2.9990
2024-01-01 07:13:01.870620,49.37,2.9942
2024-01-01 07:13:08.870620,49.58,2.9848
2024-01-01 07:13:11.870620,49.65,2.9817
2024-01-01 07:13:18.870620,49.77,2.9763
2024-01-01 07:13:21.870620,49.81,2.9748
2024-01-01 07:13:28.870620,49.84,2.9733
2024-01-01 07:13:31.870620,49.84,2.9735
2024-01-01 07:13:38.870620,49.78,2.9760
2024-01-01 07:13:41.870620,49.74,2.9778
2024-01-01 07:13:48.870620,49.59,2.9842
2024-01-01 07:13:51.870620,49.51,2.9878
2024-01-01 07:13:58.870620,49.28,2.9980
2024-01-01 07:14:01.870620,49.17,3.0033
2024-01-01 07:14:08.870620,48.85,3.0175
2024-01-01 07:14:11.870620,48.70,3.0244
2024-01-01 07:14:18.870620,48.32,3.0425
2024-01-01 07:14:21.870620,48.13,3.0511
2024-01-01 07:14:28.870620,47.68,3.0730
2024-01-01 07:14:31.870620,47.47,3.0833
2024-01-01 07:14:38.870620,46.95,3.1092
2024-01-01 07:14:41.870620,46.71,3.1211
2024-01-01 07:14:48.870620,46.14,3.1508
2024-01-01 07:14:51.870620,45.88,3.1644
2024-01-01 07:14:58.870620,45.26,3.1981
2024-01-01 07:15:01.870620,44.99,3.2133
2024-01-01 07:15:08.870620,44.32,3.2509
2024-01-01 07:15:11.870620,44.03,3.2678
2024-01-01 07:15:18.870620,43.34,3.3093
2024-01-01 07:15:21.870620,43.04,3.3279
2024-01-01 07:15:28.870620,42.32,3.3733
2024-01-01 07:15:31.870620,42.00,3.3936
2024-01-01 07:15:38.870621,41.27,3.4430
2024-01-01 07:15:41.870621,40.94,3.4650
2024-01-01 07:15:48.870621,40.19,3.5183
2024-01-01 07:15:51.870621,39.87,3.5421
2024-01-01 07:15:58.870621,39.10,3.5995
2024-01-01 07:16:01.870621,38.77,3.6250
2024-01-01 07:16:08.870621,38.00,3.6866
2024-01-01 07:16:11.870621,37.67,3.7139
2024-01-01 07:16:18.870621,36.90,3.7797
2024-01-01 07:16:21.870621,36.57,3.8088
2024-01-01 07:16:28.870621,35.80,3.8789
2024-01-01 07:16:31.870621,35.47,3.9099
2024-01-01 07:16:38.870621,34.71,3.9844
2024-01-01 07:16:41.870621,34.38,4.0173
2024-01-01 07:16:48.870621,33.62,4.0965
2024-01-01 07:16:51.870621,33.30,4.1314
2024-01-01 07:16:58.870621,32.54,4.2153
2024-01-01 07:17:01.870621,32.22,4.2522
2024-01-01 07:17:08.870621,31.48,4.3411
2024-01-01 07:17:11.870621,31.17,4.3802
2024-01-01 07:17:18.870621,30.44,4.4742
2024-01-01 07:17:21.870621,30.12,4.5156
2024-01-01 07:17:28.870621,29.40,4.6149
2024-01-01 07:17:31.870621,29.10,4.6587
2024-01-01 07:17:38.870621,28.39,4.7637
2024-01-01 07:17:41.870621,28.09,4.8100
2024-01-01 07:17:48.870621,27.39,4.9210
2024-01-01 07:17:51.870621,27.10,4.9699
2024-01-01 07:17:58.870621,26.42,5.0872
2024-01-01 07:18:01.870621,26.13,5.1389
2024-01-01 07:18:08.870622,25.46,5.2630
2024-01-01 07:18:11.870622,25.18,5.3176
2024-01-01 07:18:18.870622,24.52,5.4489
2024-01-01 07:18:21.870622,24.24,5.5067
2024-01-01 07:18:28.870622,23.60,5.6457
2024-01-01 07:18:31.870622,23.33,5.7069
2024-01-01 07:18:38.870622,22.70,5.8541
2024-01-01 07:18:41.870622,22.43,5.9190
2024-01-01 07:18:48.870622,21.81,6.0751
2024-01-01 07:18:51.870622,21.55,6.1439
2024-01-01 07:18:58.870622,20.95,6.3096
2024-01-01 07:19:01.870622,20.69,6.3827
2024-01-01 07:19:08.870622,20.10,6.5587
2024-01-01 07:19:11.870622,19.85,6.6365
2024-01-01 07:19:18.870622,19.27,6.8238
2024-01-01 07:19:21.870622,19.03,6.9067
2024-01-01 07:19:28.870622,18.46,7.1063
2024-01-01 07:19:31.870622,18.22,7.1947
2024-01-01 07:19:38.870622,17.67,7.4078
2024-01-01 07:19:41.870622,17.43,7.5022
2024-01-01 07:19:48.870622,16.89,7.7301
2024-01-01 07:19:51.870622,16.66,7.8312
2024-01-01 07:19:58.870622,16.12,8.0755
2024-01-01 07:20:01.870622,15.90,8.1839
2024-01-01 07:20:08.870622,15.38,8.4462
2024-01-01 07:20:11.870622,15.15,8.5628
2024-01-01 07:20:18.870622,14.64,8.8452
2024-01-01 07:20:21.870622,14.42,8.9708
2024-01-01 07:20:28.870622,13.92,9.2755
2024-01-01 07:20:31.870622,13.71,9.4113
2024-01-01 07:20:38.870622,13.22,9.7410
2024-01-01 07:20:41.870622,13.01,9.8881
2024-01-01 07:20:48.870622,12.53,10.2459
2024-01-01 07:20:51.870622,12.32,10.4058
2024-01-01 07:20:58.870622,11.85,10.7954
2024-01-01 07:21:01.870622,11.64,10.9697
2024-01-01 07:21:08.870622,11.18,11.3952
2024-01-01 07:21:11.870622,10.98,11.5860
2024-01-01 07:21:48.870623,8.63,14.4610
2024-01-01 07:21:51.870623,8.44,14.7462
2024-01-01 07:21:58.870623,8.02,15.4498
2024-01-01 07:22:01.870623,7.83,15.7689
2024-01-01 07:22:08.870623,7.41,16.5586
2024-01-01 07:22:11.870623,7.24,16.9178
2024-01-01 07:22:18.870623,6.82,17.8093
2024-01-01 07:22:21.870623,6.65,18.2161
2024-01-01 07:22:28.870623,6.24,19.2289
2024-01-01 07:22:31.870623,6.07,19.6926
2024-01-01 07:22:38.870623,5.67,20.8513
2024-01-01 07:22:41.870623,5.50,21.3837
2024-01-01 07:22:48.870623,5.10,22.7193
2024-01-01 07:22:51.870623,4.93,23.3354
2024-01-01 07:23:18.870623,3.45,30.4290
2024-01-01 07:23:21.870623,3.29,31.4376
2024-01-01 07:23:28.870623,2.92,34.0191
2024-01-01 07:23:31.870623,2.76,35.2349
2024-01-01 07:23:38.870623,2.39,38.3699
2024-01-01 07:23:41.870623,2.24,39.8586
2024-01-01 07:23:48.870623,1.87,43.7380
2024-01-01 07:23:51.870623,1.72,45.6030
2024-01-01 07:23:58.870623,1.36,50.5463
2024-01-01 07:24:01.870623,1.21,52.9737
2024-01-01 09:06:38.870652,7.95,15.5643
2024-01-01 09:06:41.870652,8.05,15.3927
2024-01-01 09:06:48.870652,8.28,15.0088
2024-01-01 09:06:51.870652,8.38,14.8511
2024-01-01 09:06:58.870652,8.60,14.4981
2024-01-01 09:07:01.870652,8.70,14.3529
2024-01-01 09:07:08.870652,8.92,14.0277
2024-01-01 09:07:11.870652,9.02,13.8939
2024-01-01 09:07:18.870652,9.23,13.5939
2024-01-01 09:07:21.870652,9.33,13.4704
2024-01-01 09:07:28.870652,9.54,13.1935
2024-01-01 09:07:31.870652,9.63,13.0794
2024-01-01 09:07:38.870652,9.84,12.8235
2024-01-01 09:07:41.870652,9.93,12.7180
2024-01-01 09:07:48.870652,10.13,12.4813
2024-01-01 09:07:51.870652,10.22,12.3838
2024-01-01 09:07:58.870652,10.42,12.1649
2024-01-01 09:08:01.870652,10.50,12.0747
2024-01-01 09:08:08.870652,10.70,11.8721
2024-01-01 09:08:11.870652,10.78,11.7887
2024-01-01 09:08:18.870652,10.97,11.6013
2024-01-01 09:08:21.870652,11.04,11.5242
2024-01-01 09:08:28.870652,11.23,11.3510
2024-01-01 09:08:31.870652,11.30,11.2796
2024-01-01 09:08:38.870652,11.48,11.1196
2024-01-01 09:08:41.870652,11.55,11.0538
2024-01-01 09:08:48.870652,11.72,10.9061
2024-01-01 09:08:51.870652,11.79,10.8454
2024-01-01 09:08:58.870652,11.95,10.7094
2024-01-01 09:09:01.870652,12.01,10.6535
2024-01-01 09:09:08.870652,12.17,10.5284
2024-01-01 09:09:11.870652,12.23,10.4771
2024-01-01 09:09:18.870653,12.38,10.3624
2024-01-01 09:09:21.870653,12.44,10.3154
2024-01-01 09:09:28.870653,12.57,10.2105
2024-01-01 09:09:31.870653,12.63,10.1676
2024-01-01 09:09:38.870653,12.76,10.0721
2024-01-01 09:09:41.870653,12.81,10.0331
2024-01-01 09:09:48.870653,12.93,9.9466
2024-01-01 09:09:51.870653,12.98,9.9114
2024-01-01 09:09:58.870653,13.09,9.8334
2024-01-01 09:10:01.870653,13.13,9.8018
2024-01-01 09:10:08.870653,13.23,9.7321
2024-01-01 09:10:11.870653,13.27,9.7040
2024-01-01 09:10:18.870653,13.36,9.6423
2024-01-01 09:10:21.870653,13.40,9.6176
2024-01-01 09:10:28.870653,13.48,9.5636
2024-01-01 09:10:31.870653,13.51,9.5422
2024-01-01 09:10:38.870653,13.58,9.4958
2024-01-01 09:10:41.870653,13.61,9.4775
2024-01-01 09:10:48.870653,13.67,9.4384
2024-01-01 09:10:51.870653,13.69,9.4232
2024-01-01 09:10:58.870653,13.74,9.3914
2024-01-01 09:11:01.870653,13.76,9.3793
2024-01-01 09:11:08.870653,13.80,9.3546
2024-01-01 09:11:11.870653,13.81,9.3454
2024-01-01 09:11:18.870653,13.84,9.3277
2024-01-01 09:11:21.870653,13.85,9.3216
2024-01-01 09:11:28.870653,13.87,9.3107
2024-01-01 09:11:31.870653,13.87,9.3076
2024-01-01 09:11:58.870653,13.85,9.3188
2024-01-01 09:12:01.870653,13.84,9.3245
2024-01-01 09:12:08.870653,13.82,9.3412
2024-01-01 09:12:11.870653,13.81,9.3498
2024-01-01 09:12:18.870653,13.77,9.3735
2024-01-01 09:12:21.870653,13.75,9.3851
2024-01-01 09:12:28.870653,13.70,9.4158
2024-01-01 09:12:31.870653,13.68,9.4305
2024-01-01 09:12:38.870653,13.62,9.4683
2024-01-01 09:12:41.870653,13.59,9.4861
2024-01-01 09:12:48.870653,13.53,9.5312
2024-01-01 09:12:51.870653,13.49,9.5522
2024-01-01 09:12:58.870654,13.42,9.6048
2024-01-01 09:13:01.870654,13.38,9.6289
2024-01-01 09:13:08.870654,13.29,9.6892
2024-01-01 09:13:11.870654,13.25,9.7167
2024-01-01 09:13:18.870654,13.15,9.7848
2024-01-01 09:13:21.870654,13.11,9.8157
2024-01-01 09:13:28.870654,13.00,9.8920
2024-01-01 09:13:31.870654,12.95,9.9265
2024-01-01 09:13:38.870654,12.84,10.0112
2024-01-01 09:13:41.870654,12.79,10.0494
2024-01-01 09:13:48.870654,12.66,10.1429
2024-01-01 09:13:51.870654,12.61,10.1849
2024-01-01 09:13:58.870654,12.47,10.2876
2024-01-01 09:14:01.870654,12.41,10.3337
2024-01-01 09:14:08.870654,12.27,10.4460
2024-01-01 09:14:11.870654,12.21,10.4963
2024-01-01 09:14:18.870655,12.06,10.6187
2024-01-01 09:14:21.870655,11.99,10.6735
2024-01-01 09:14:28.870655,11.83,10.8066
2024-01-01 09:14:31.870655,11.76,10.8661
2024-01-01 09:14:38.870655,11.60,11.0105
2024-01-01 09:14:41.870655,11.53,11.0750
2024-01-01 09:14:48.870655,11.35,11.2314
2024-01-01 09:14:51.870655,11.28,11.3012
2024-01-01 09:14:58.870655,11.10,11.4705
2024-01-01 09:15:01.870655,11.02,11.5459
2024-01-01 09:15:08.870656,10.84,11.7289
2024-01-01 09:15:11.870656,10.76,11.8104
2024-01-01 09:15:18.870656,10.57,12.0081
2024-01-01 09:15:21.870656,10.48,12.0961
2024-01-01 09:15:28.870656,10.29,12.3096
2024-01-01 09:15:31.870656,10.20,12.4047
2024-01-01 09:15:38.870656,10.00,12.6353
2024-01-01 09:15:41.870656,9.91,12.7380
2024-01-01 09:15:48.870656,9.71,12.9872
2024-01-01 09:15:51.870656,9.62,13.0982
2024-01-01 09:15:58.870656,9.40,13.3675
2024-01-01 09:16:01.870656,9.31,13.4876
2024-01-01 09:16:08.870656,9.10,13.7789
2024-01-01 09:16:11.870656,9.00,13.9088
2024-01-01 09:16:18.870656,8.79,14.2243
2024-01-01 09:16:21.870656,8.69,14.3650
2024-01-01 09:16:28.870656,8.47,14.7071
2024-01-01 09:16:31.870656,8.37,14.8597
2024-01-01 09:16:38.870656,8.14,15.2311
2024-01-01 09:16:41.870656,8.05,15.3970
2024-01-01 09:19:08.870657,2.93,33.9846
2024-01-01 09:19:11.870657,2.82,34.8035
2024-01-01 09:19:18.870657,2.56,36.8582
2024-01-01 09:19:21.870657,2.46,37.8063
2024-01-01 09:19:28.870657,2.20,40.1968
2024-01-01 09:19:31.870657,2.09,41.3058
2024-01-01 09:19:38.870657,1.84,44.1199
2024-01-01 09:19:41.870657,1.73,45.4348
2024-01-01 09:19:48.870657,1.48,48.8022
2024-01-01 09:19:51.870657,1.37,50.3926
2024-01-01 09:19:58.870657,1.12,54.5234
2024-01-01 09:20:01.870657,1.01,56.5076
2024-01-01 11:10:38.870687,6.47,18.6419
2024-01-01 11:10:41.870687,6.50,18.5672
2024-01-01 11:10:48.870687,6.57,18.4025
2024-01-01 11:10:51.870687,6.60,18.3360
2024-01-01 11:10:58.870687,6.66,18.1901
2024-01-01 11:11:01.870687,6.68,18.1314
2024-01-01 11:11:08.870687,6.74,18.0033
2024-01-01 11:11:11.870687,6.76,17.9521
2024-01-01 11:11:18.870687,6.81,17.8412
2024-01-01 11:11:21.870687,6.83,17.7972
2024-01-01 11:12:38.870687,7.03,17.3505
2024-01-01 11:12:41.870687,7.03,17.3587
2024-01-01 11:12:48.870688,7.01,17.3851
2024-01-01 11:12:51.870688,7.01,17.3996
2024-01-01 11:12:58.870688,6.99,17.4410
2024-01-01 11:13:01.870688,6.98,17.4619
2024-01-01 11:13:08.870688,6.95,17.5184
2024-01-01 11:13:11.870688,6.94,17.5459
2024-01-01 11:13:18.870688,6.91,17.6178
2024-01-01 11:13:21.870688,6.89,17.6520
2024-01-01 11:13:28.870688,6.85,17.7398
2024-01-01 11:13:31.870688,6.83,17.7808
2024-01-01 11:13:38.870688,6.79,17.8849
2024-01-01 11:13:41.870688,6.77,17.9330
